Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
heated-rehabilitation-robot-gloves,Heated Rehabilitation Robot Gloves,"<p>Advanced robotic gloves for hand rehabilitation. Provides assisted movement and heat therapy for stroke and arthritis patients.</p>",Alpha Medical Care,Rehabilitation,"rehabilitation,gloves,robotic,therapy",TRUE,Title,Default Title,RRG-001,800,shopify,100,deny,manual,249.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823587/pexels-photo-6823587.jpeg?auto=compress&cs=tinysrgb&w=600,1,Rehabilitation Robot Gloves,FALSE,Heated Rehabilitation Robot Gloves - Hand Therapy,Advanced robotic gloves for hand rehabilitation. Assisted movement and heat therapy.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
relax-eye-massage-device,Relax Eye Massage Device,"<p>Eye massager with heat, vibration, and air compression. Relieves eye strain and promotes better sleep.</p>",Alpha Medical Care,Pain Relief,"eye,massager,relaxation,strain",TRUE,Title,Default Title,EYM-001,350,shopify,100,deny,manual,89.99,,TRUE,TRUE,,https://images.pexels.com/photos/3757952/pexels-photo-3757952.jpeg?auto=compress&cs=tinysrgb&w=600,1,Eye Massage Device,FALSE,Relax Eye Massage Device - Strain Relief,Relieve eye strain and improve sleep with our eye massager. Heat and air compression therapy.,Health & Beauty > Personal Care > Massage & Relaxation,,,,,,,,,,,,,kg,,,,active
finger-rehabilitation-exerciser-robot-gloves,Finger Rehabilitation Exerciser Robot Gloves,"<p>Robotic gloves specifically designed for finger rehabilitation. Helps improve grip strength and dexterity.</p>",Alpha Medical Care,Rehabilitation,"finger,rehabilitation,robotic,exercise",TRUE,Title,Default Title,FRG-001,750,shopify,100,deny,manual,229.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823587/pexels-photo-6823587.jpeg?auto=compress&cs=tinysrgb&w=600,1,Finger Rehabilitation Gloves,FALSE,Finger Rehabilitation Exerciser Robot Gloves - Grip Strength,Improve finger strength and dexterity with robotic rehabilitation gloves. Perfect for post-injury recovery.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
knee-brace-support-arthritis-pain,Knee Brace Support for Arthritis Pain,"<p>Medical-grade knee brace providing compression and stability for arthritis pain relief. Open patella design.</p>",Alpha Medical Care,Rehabilitation,"knee,arthritis,brace,support",TRUE,Title,Default Title,KBA-001,250,shopify,100,deny,manual,69.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823581/pexels-photo-6823581.jpeg?auto=compress&cs=tinysrgb&w=600,1,Knee Brace for Arthritis,FALSE,Knee Brace Support for Arthritis Pain - Compression Relief,Medical-grade knee brace for arthritis pain. Provides compression and stability with open patella design.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
achilles-tendon-rehabilitation-boots,Achilles Tendon Rehabilitation Boots,"<p>Specialized boots for Achilles tendon recovery. Adjustable angle for gradual rehabilitation progression.</p>",Alpha Medical Care,Rehabilitation,"achilles,tendon,rehabilitation,boots",TRUE,Title,Default Title,ATB-001,1500,shopify,100,deny,manual,159.99,,TRUE,TRUE,,https://images.pexels.com/photos/6111619/pexels-photo-6111619.jpeg?auto=compress&cs=tinysrgb&w=600,1,Achilles Rehabilitation Boots,FALSE,Achilles Tendon Rehabilitation Boots - Recovery Support,Specialized boots for Achilles tendon recovery. Adjustable angle for proper healing.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
adjust-knee-brace-orthopedic-leg-support,Adjust Knee Brace Orthopedic Leg Support,"<p>Professional orthopedic knee brace with adjustable hinges. Provides maximum stability for post-surgery recovery.</p>",Alpha Medical Care,Rehabilitation,"knee,orthopedic,brace,adjustable",TRUE,Title,Default Title,OKB-001,800,shopify,100,deny,manual,119.99,,TRUE,TRUE,,https://images.pexels.com/photos/6111619/pexels-photo-6111619.jpeg?auto=compress&cs=tinysrgb&w=600,1,Orthopedic Knee Brace,FALSE,Adjust Knee Brace Orthopedic Leg Support - Post-Surgery,Professional orthopedic knee brace for post-surgery recovery. Adjustable hinges for maximum stability.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
knee-ankle-foot-orthosis-hip-fracture,Knee Ankle Foot Orthosis for Hip Fracture,"<p>KAFO orthosis for hip fracture patients. Provides full leg support from hip to ankle with lockable joints.</p>",Alpha Medical Care,Rehabilitation,"kafo,orthosis,hip,fracture",TRUE,Title,Default Title,KAF-001,2500,shopify,100,deny,manual,349.99,,TRUE,TRUE,,https://images.pexels.com/photos/6111619/pexels-photo-6111619.jpeg?auto=compress&cs=tinysrgb&w=600,1,KAFO Hip Fracture Support,FALSE,Knee Ankle Foot Orthosis for Hip Fracture - Full Leg Support,KAFO orthosis for hip fracture recovery. Complete leg support with lockable joints.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
led-facial-mask-neck-treatment,LED Facial Mask with Neck Treatment,"<p>7-color LED light therapy mask with neck treatment. FDA-cleared for anti-aging and acne treatment.</p>",Alpha Medical Care,Wellness,"led,facial,mask,light-therapy",TRUE,Title,Default Title,LFM-001,600,shopify,100,deny,manual,199.99,,TRUE,TRUE,,https://images.pexels.com/photos/3865618/pexels-photo-3865618.jpeg?auto=compress&cs=tinysrgb&w=600,1,LED Facial Therapy Mask,FALSE,LED Facial Mask with Neck Treatment - Anti-Aging Therapy,7-color LED light therapy for anti-aging and acne. Includes neck treatment.,Health & Beauty > Personal Care > Skin Care > Skin Care Tools,,,,,,,,,,,,,kg,,,,active
smart-facial-massager-lifting-firming,Smart Facial Massager Lifting and Firming,"<p>EMS microcurrent facial massager for lifting and firming. Multiple modes for different skin concerns.</p>",Alpha Medical Care,Wellness,"facial,massager,ems,lifting",TRUE,Title,Default Title,SFM-001,300,shopify,100,deny,manual,149.99,,TRUE,TRUE,,https://images.pexels.com/photos/3865618/pexels-photo-3865618.jpeg?auto=compress&cs=tinysrgb&w=600,1,Smart Facial Massager,FALSE,Smart Facial Massager Lifting and Firming - EMS Technology,EMS microcurrent facial massager for lifting and firming skin. Multiple treatment modes.,Health & Beauty > Personal Care > Skin Care > Skin Care Tools,,,,,,,,,,,,,kg,,,,active
3-in-1-facial-lifting-device,3 In 1 Facial Lifting Device,"<p>Multi-function facial device combining EMS, LED, and RF technology. Professional-grade at-home facial treatment.</p>",Alpha Medical Care,Wellness,"facial,lifting,ems,rf",TRUE,Title,Default Title,FLD-001,400,shopify,100,deny,manual,179.99,,TRUE,TRUE,,https://images.pexels.com/photos/3757952/pexels-photo-3757952.jpeg?auto=compress&cs=tinysrgb&w=600,1,3-in-1 Facial Device,FALSE,3 In 1 Facial Lifting Device - Professional Treatment,Professional 3-in-1 facial device with EMS LED and RF. At-home spa-quality results.,Health & Beauty > Personal Care > Skin Care > Skin Care Tools,,,,,,,,,,,,,kg,,,,active
